station_raw,station
AEROPARQUE,AEROPARQUE AERO
AZUL_AERO,AZUL AERO
BAHIA_BLANCA_AERO,BAHIA BLANCA AERO
BARILOCHE_AERO,BARILOCHE AERO
BENITO_JUAREZ_AERO,BENITO JUAREZ AERO
BERNARDO_DE_IRIGOYEN_AERO,BERNARDO DE IRIGOYEN AERO
BOLIVAR_AERO,BOLIVAR AERO
BUENOS_AIRES,BUENOS AIRES OBSERVATORIO
CATAMARCA_AERO,CATAMARCA AERO
CERES_AERO,CERES AERO
CHAMICAL_AERO,CHAMICAL AERO
CHAPELCO_AERO,CHAPELCO AERO
CHEPES,CHEPES
CHILECITO_AERO,CHILECITO AERO
CIPOLLETTI,CIPOLLETTI
COMODORO_RIVADAVIA_AERO,COMODORO RIVADAVIA AERO
CONCORDIA_AERO,CONCORDIA AERO
CORDOBA_AERO,CORDOBA AERO
CORDOBA_OBSERVATORIO,CORDOBA OBSERVATORIO
CORONEL_PRINGLES_AERO,CORONEL PRINGLES AERO
CORONEL_SUAREZ_AERO,CORONEL SUAREZ AERO
CORRIENTES_AERO,CORRIENTES AERO
DOLORES_AERO,DOLORES AERO
EL_BOLSON_AERO,EL BOLSON AERO
EL_CALAFATE_AERO,EL CALAFATE AERO
EL_PALOMAR_AERO,EL PALOMAR AERO
EL_TREBOL,EL TREBOL
ESC.AVIACION_MILITAR_AERO,ESCUELA DE AVIACION MILITAR AERO
ESQUEL_AERO,ESQUEL AERO
EZEIZA_AERO,EZEIZA AERO
FORMOSA_AERO,FORMOSA AERO
GENERAL_PICO_AERO,GENERAL PICO AERO
GOBERNADOR_GREGORES_AERO,GOBERNADOR GREGORES AERO
GUALEGUAYCHU_AERO,GUALEGUAYCHU AERO
IGUAZU_AERO,IGUAZU AERO
ITUZAINGO,ITUZAINGO
JACHAL,JACHAL
JUJUY_AERO,JUJUY AERO
JUJUY_U_N,JUJUY U N
JUNIN_AERO,JUNIN AERO
LA_PLATA_AERO,LA PLATA AERO
LA_QUIACA_OBS,LA QUIACA OBSERVATORIO
LA_RIOJA_AERO,LA RIOJA AERO
LABOULAYE_AERO,LABOULAYE AERO
LAS_FLORES_AERO,LAS FLORES
LAS_LOMITAS,LAS LOMITAS
MALARGUE_AERO,MALARGUE AERO
MAQUINCHAO,MAQUINCHAO
MAR_DEL_PLATA_AERO,MAR DEL PLATA AERO
MARCOS_JUAREZ_AERO,MARCOS JUAREZ AERO
MARIANO_MORENO_AERO,MARIANO MORENO AERO
MENDOZA_AERO,MENDOZA AERO
MENDOZA_OBSERVATORIO,MENDOZA OBSERVATORIO
MERCEDES_AERO_(CTES),MERCEDES AERO (CTES)
MERLO_AERO,MERLO AERO
METAN,METAN
MONTE_CASEROS_AERO,MONTE CASEROS AERO
MORON_AERO,MORON AERO
NEUQUEN_AERO,NEUQUEN AERO
NUEVE_DE_JULIO,NUEVE DE JULIO
OBERA_AERO,OBERA
OLAVARRIA_AERO,OLAVARRIA AERO
ORAN_AERO,ORAN AERO
PARANA_AERO,PARANA AERO
PASO_DE_INDIOS,PASO DE INDIOS
PASO_DE_LOS_LIBRES_AERO,PASO DE LOS LIBRES AERO
PCIA._ROQUE_SAENZ_PEÃA_AERO,PRESIDENCIA ROQUE SAENZ PEÑA AERO
PEHUAJO_AERO,PEHUAJO AERO
PERITO_MORENO_AERO,PERITO MORENO AERO
PIGUE_AERO,PIGUE AERO
PILAR_OBS,PILAR OBSERVATORIO
POSADAS_AERO,POSADAS AERO
PUERTO_DESEADO_AERO,PUERTO DESEADO AERO
PUERTO_MADRYN_AERO,PUERTO MADRYN AERO
PUNTA_INDIO_B.A,PUNTA INDIO B.A.
RAFAELA_AERO,RAFAELA AERO
RECONQUISTA_AERO,RECONQUISTA AERO
RESISTENCIA_AERO,RESISTENCIA AERO
RIO_COLORADO,RIO COLORADO
RIO_CUARTO_AERO,RIO CUARTO AERO
RIO_GALLEGOS_AERO,RIO GALLEGOS AERO
RIO_GRANDE_B.A.,RIO GRANDE B.A.
RIVADAVIA,RIVADAVIA
ROSARIO_AERO,ROSARIO AERO
SALTA_AERO,SALTA AERO
SAN_ANTONIO_OESTE_AERO,SAN ANTONIO OESTE AERO
SAN_CARLOS_(MZA),SAN CARLOS (MZA)
SAN_FERNANDO,SAN FERNANDO AERO
SAN_JUAN_AERO,SAN JUAN AERO
SAN_JULIAN_AERO,SAN JULIAN AERO
SAN_LUIS_AERO,SAN LUIS AERO
SAN_MARTIN_(MZA),SAN MARTIN (MZA)
SAN_MIGUEL,
SAN_RAFAEL_AERO,SAN RAFAEL AERO
SANTA_CRUZ_AERO,SANTA CRUZ AERO
SANTA_ROSA_AERO,SANTA ROSA AERO
SANTA_ROSA_DE_CONLARA_AERO,SANTA ROSA DE CONLARA AERO
SANTA_TERESITA_AERO,
SANTIAGO_DEL_ESTERO_AERO,SANTIAGO DEL ESTERO AERO
SAUCE_VIEJO_AERO,SAUCE VIEJO AERO
SUNCHALES_AERO,SUNCHALES AERO
TANDIL_AERO,TANDIL AERO
TARTAGAL_AERO,TARTAGAL AERO
TERMAS_DE_RIO_HONDO_AERO,TERMAS DE RIO HONDO AERO
TINOGASTA,TINOGASTA
TRELEW_AERO,TRELEW AERO
TRENQUE_LAUQUEN,TRENQUE LAUQUEN
TRES_ARROYOS,TRES ARROYOS
TUCUMAN_AERO,TUCUMAN AERO
USHUAIA_AERO,USHUAIA AERO
USPALLATA_AERO,USPALLATA
VENADO_TUERTO,VENADO TUERTO AERO
VICTORICA,VICTORICA
VIEDMA_AERO,VIEDMA AERO
VILLA_DOLORES_AERO,VILLA DOLORES AERO
VILLA_GESELL_AERO,VILLA GESELL AERO
VILLA_MARIA_DEL_RIO_SECO,VILLA DE MARIA DEL RIO SECO
VILLA_REYNOLDS_AERO,VILLA REYNOLDS AERO
